DistrictId|PartnerId|TotalAmount|TranCount|NetMargin|MaxDateTran|MaxDateIndex|F2LOG|F1|F2|F3|Segment|CentroidID|F1LOG
1048608|5111853|571.53|13|94.3819|20160910|254|6.348316975295453|0.6950549450549451|0.4928797197419293|0.6435021929921132|GOOD CUSTOMERS|200|2.5649493574615367
1048608|6153989|48.99|1|-4.5083|20160811|224|3.8916161956504833|0.6126373626373627|0.0|0.42741228979488766|AVERAGE CUSTOMERS|300|0.0
1048608|7020230|1153.79|46|270.1037|20161213|348|7.050807454771883|0.9532967032967034|0.7357103145153195|0.7052928273928449|MOST VALUED CUSTOMERS|100|3.828641396489095
1048608|7377593|42.65|4|12.231|20161221|356|3.753027273937688|0.9752747252747254|0.26638981163542713|0.4152220927121751|GOOD CUSTOMERS|200|1.3862943611198906
1048608|5615158|46.98|2|10.244|20161006|280|3.849721979230767|0.7664835164835165|0.13319490581771357|0.4237273000534962|AVERAGE CUSTOMERS|300|0.6931471805599453
1048608|6726611|160.94|3|66.8134|20161227|362|5.081031624717987|0.9917582417582419|0.2111089310081622|0.5320325459766873|GOOD CUSTOMERS|200|1.0986122886681098
1048608|5124734|102.44|3|23.0637|20160623|175|4.629277261331325|0.47802197802197804|0.2111089310081622|0.4922965075213831|LOWER RANGE CUSTOMERS|400|1.0986122886681098
1048608|5945362|394.71|11|61.9452|20160910|254|5.978151318045857|0.6950549450549451|0.4607786686272152|0.6109426473996045|GOOD CUSTOMERS|200|2.3978952727983707
1048608|7947759|107.34|3|23.0958|20161021|295|4.676001366748682|0.8076923076923078|0.2111089310081622|0.49640633135514806|GOOD CUSTOMERS|200|1.0986122886681098
1048608|7028597|22.99|1|6.2317|20160228|59|3.1350593387750902|0.15934065934065936|0.0|0.3608660097920674|LOWER RANGE CUSTOMERS|400|0.0
1048608|7424603|3.17|1|1.3704|20160629|181|1.1537315878891892|0.4945054945054946|0.0|0.18658962846052218|AVERAGE CUSTOMERS|300|0.0
1048608|4227158|940.6|19|147.5593|20161201|336|6.8465179695109475|0.9203296703296704|0.5658023050735925|0.6873236487854988|MOST VALUED CUSTOMERS|100|2.9444389791664403
1048608|6260229|875.91|16|221.0471|20161223|358|6.775263345932276|0.9807692307692308|0.5327796232708543|0.6810561355258276|MOST VALUED CUSTOMERS|100|2.772588722239781
1048608|5926172|397.83|4|69.732|20160809|222|5.986024778357617|0.6071428571428572|0.26638981163542713|0.6116351921696848|GOOD CUSTOMERS|200|1.3862943611198906
1048608|724212|13.99|1|6.992|20161012|286|2.63834278867739|0.7829670329670331|0.0|0.3171751247985015|AVERAGE CUSTOMERS|300|0.0
1048608|8450005|237.25|3|55.1748|20160715|197|5.469114437490037|0.5384615384615385|0.2111089310081622|0.5661680736482901|AVERAGE CUSTOMERS|300|1.0986122886681098
1048608|3440659|268.64|4|54.1854|20161117|322|5.59337219332923|0.881868131868132|0.26638981163542713|0.5770977101157302|GOOD CUSTOMERS|200|1.3862943611198906
1048608|3000099|272.18|5|63.9628|20161224|359|5.606463612132171|0.9835164835164836|0.3092689939140253|0.578249223334304|GOOD CUSTOMERS|200|1.6094379124341003
1048608|7549297|116.12|4|36.0001|20160806|219|4.754624139156429|0.598901098901099|0.26638981163542713|0.5033219424948745|GOOD CUSTOMERS|200|1.3862943611198906
1048608|8083276|112.23|2|32.9517|20161229|364|4.720550337028165|0.9972527472527473|0.13319490581771357|0.5003248316279492|GOOD CUSTOMERS|200|0.6931471805599453
1048608|5104883|805.68|6|178.7397|20161218|353|6.691686641339889|0.9670329670329672|0.34430383682587573|0.6737047795306046|GOOD CUSTOMERS|200|1.791759469228055
1048608|7028199|270.38|5|50.2561|20161128|333|5.59982837693626|0.9120879120879122|0.3092689939140253|0.5776655920907048|GOOD CUSTOMERS|200|1.6094379124341003
1048608|8083216|81.55|3|20.2756|20161101|306|4.401216329067023|0.8379120879120879|0.2111089310081622|0.47223640692452334|GOOD CUSTOMERS|200|1.0986122886681098
1048608|5871193|2941.16|57|766.6276|20161224|359|7.9865593403383865|0.9835164835164836|0.7769112360817547|0.7876009928984173|MOST VALUED CUSTOMERS|100|4.04305126783455
1048608|7028537|3327.81|48|787.7202|20161230|365|8.110069708965172|1.0|0.7438885542790165|0.7984648896421929|MOST VALUED CUSTOMERS|100|3.871201010907891
1048608|3595967|1959.54|21|319.8569|20161219|354|7.5804650308020936|0.9697802197802199|0.5850343054485193|0.7518811849495943|MOST VALUED CUSTOMERS|100|3.044522437723423
1048608|6590095|8.41|1|1.3783|20160412|103|2.1294214739848565|0.2802197802197803|0.0|0.2724107161500836|LOWER RANGE CUSTOMERS|400|0.0
1048608|7554149|34.98|1|16.4533|20161108|313|3.554776469590456|0.8571428571428572|0.0|0.39778407279737027|AVERAGE CUSTOMERS|300|0.0
1048608|6362676|108.98|1|25.9933|20160706|188|4.691164379154952|0.5137362637362638|0.0|0.4977400606844165|AVERAGE CUSTOMERS|300|0.0
1048608|7522078|90.73|3|20.533|20160811|224|4.507888063181538|0.6126373626373627|0.2111089310081622|0.48161918763989264|AVERAGE CUSTOMERS|300|1.0986122886681098
1048608|5083575|2104.29|35|450.3711|20161216|351|7.651733397059166|0.9615384615384617|0.6831943683543825|0.7581499070068818|MOST VALUED CUSTOMERS|100|3.5553480614894135
1048608|6588037|72.33|3|22.8413|20161111|316|4.28123898086119|0.8653846153846154|0.2111089310081622|0.4616832725035683|GOOD CUSTOMERS|200|1.0986122886681098
