DistrictId|PartnerId|TotalAmount|TranCount|NetMargin|MaxDateTran|MaxDateIndex|F1|F2|Segment|CentroidID|F1LOG|F0LOG
1048608|8083216|81.55|3|20.2756|20161101|306|0.47223640692452334|0.6416485985339048|AVERAGE CUSTOMERS|300|3.009418192658554|4.401216329067023
1048608|5871193|2941.16|57|766.6276|20161224|359|0.7876009928984173|0.8899659200133597|MOST VALUED CUSTOMERS|100|6.642001155429065|7.9865593403383865
1048608|7028537|3327.81|48|787.7202|20161230|365|0.7984648896421929|0.8918212879323539|MOST VALUED CUSTOMERS|100|6.669142950661287|8.110069708965172
1048608|3595967|1959.54|21|319.8569|20161219|354|0.7518811849495943|0.8302120235343464|MOST VALUED CUSTOMERS|100|5.767873708275623|7.5804650308020936
1048608|6590095|8.41|1|1.3783|20160412|103|0.2724107161500836|0.45786261303311254|LOWER RANGE CUSTOMERS|400|0.32085085571825617|2.1294214739848565
1048608|7554149|34.98|1|16.4533|20161108|313|0.39778407279737027|0.6273690805845098|AVERAGE CUSTOMERS|300|2.800526064995042|3.554776469590456
1048608|6362676|108.98|1|25.9933|20160706|188|0.4977400606844165|0.6586302183765504|AVERAGE CUSTOMERS|300|3.257838812505422|4.691164379154952
1048608|7522078|90.73|3|20.533|20160811|224|0.48161918763989264|0.642510949541418|AVERAGE CUSTOMERS|300|3.0220333479733616|4.507888063181538
1048608|5083575|2104.29|35|450.3711|20161216|351|0.7581499070068818|0.8536041226643435|MOST VALUED CUSTOMERS|100|6.110071909580306|7.651733397059166
1048608|6588037|72.33|3|22.8413|20161111|316|0.4616832725035683|0.649793638209402|AVERAGE CUSTOMERS|300|3.1285703008563255|4.28123898086119
1048608|8176237|12.77|2|1.0|20160425|116|0.3091493477376265|0.4359297828946418|LOWER RANGE CUSTOMERS|400|0.0|2.547098670044448
1048608|3306261|1291.61|24|257.4932|20161213|348|0.7152179298491901|0.8153864408458114|MOST VALUED CUSTOMERS|100|5.550993311988109|7.1636447811892365
1048608|8315607|231.97|9|78.6355|20161106|311|0.5641884257828796|0.7343018310021918|GOOD CUSTOMERS|200|4.364823251414239|5.446608052960179
1048608|1067019|672.67|11|154.1753|20161022|296|0.6578341106902077|0.7803252428812143|MOST VALUED CUSTOMERS|100|5.038090266716429|6.511254867634554
1048608|7486552|239.81|3|60.3843|20160527|148|0.5671120983038627|0.7162487972000051|GOOD CUSTOMERS|200|4.100729137377296|5.479846943141782
1048608|8297754|88.98|2|30.6606|20160805|218|0.47990605204174136|0.6699188884678353|AVERAGE CUSTOMERS|300|3.422978442723813|4.488411625377895
1048608|5711371|37.03|3|7.3356|20161208|343|0.4027935294371522|0.5721501163514322|AVERAGE CUSTOMERS|300|1.992739207840543|3.6117283949255214
1048608|5926112|570.93|15|115.6432|20160921|265|0.643409803518264|0.760666706691222|GOOD CUSTOMERS|200|4.750509588851064|6.347266610197045
1048608|6241497|840.57|22|235.9403|20161212|347|0.6774336940261203|0.809410930863304|MOST VALUED CUSTOMERS|100|5.463578806922594|6.734080233140437
1048608|6588240|89.97|2|1.3928|20161112|317|0.48087929244399547|0.45857800035043655|AVERAGE CUSTOMERS|300|0.33131610947184226|4.499476281429027
1048608|5239942|79.49|2|8.4044|20160811|224|0.4699859569925068|0.5814479552324272|AVERAGE CUSTOMERS|300|2.128755378232757|4.375631227585021
1048608|8315667|208.39|5|49.5034|20160826|239|0.554759466848175|0.7026668312370503|GOOD CUSTOMERS|200|3.9020413540844965|5.339411324082998
1048608|6806090|64.97|2|23.2936|20161219|354|0.4522440551209745|0.6511340319399909|AVERAGE CUSTOMERS|300|3.148178644729125|4.17392562489244
1048608|3385222|88.98|1|42.86|20160813|226|0.47990605204174136|0.6928162336254415|AVERAGE CUSTOMERS|300|3.7579389900454307|4.488411625377895
1048608|5552210|463.81|15|54.7837|20161224|359|0.6251325788700852|0.709595040753457|GOOD CUSTOMERS|200|4.003392704452882|6.139474985606676
1048608|3311511|60.84|2|8.4781|20160816|229|0.4464670444185603|0.582044791158496|AVERAGE CUSTOMERS|300|2.1374863680956073|4.1082474673910925
1048608|8513351|2.58|1|1.4617|20160811|224|0.16847507904352516|0.46187861639387534|LOWER RANGE CUSTOMERS|400|0.37960014191311|0.9477893989335261
1048608|6665203|49.48|1|19.0863|20161017|291|0.428287692599663|0.6375165154569911|AVERAGE CUSTOMERS|300|2.9489708001991004|3.901568547524287
1048608|6230216|1677.6|43|315.6677|20161229|364|0.7382170849492327|0.8293108125258111|MOST VALUED CUSTOMERS|100|5.754690078007859|7.4251194795877105
1048608|7024684|2202.8|42|481.26|20161224|359|0.7621741511837072|0.8581387243996208|MOST VALUED CUSTOMERS|100|6.176407664606888|7.697484557388327
1048608|7849946|52.4|1|20.1568|20160908|252|0.43333111198451635|0.6412468913131744|AVERAGE CUSTOMERS|300|3.003541700445473|3.9589065913269965
1048608|7347520|4.65|1|1.0008|20160629|181|0.22029000510126345|0.4359844476992808|LOWER RANGE CUSTOMERS|400|0.0007996801705642441|1.536867219599265
1048608|2913447|77.77|1|14.3842|20160803|216|0.4680618035555139|0.6181820155211588|AVERAGE CUSTOMERS|300|2.6661303819707536|4.353755752706852
1048608|6042236|30.99|1|6.3117|20160723|205|0.38713114408643945|0.5618735239606331|AVERAGE CUSTOMERS|300|1.8424050538969472|3.433664571799657
1048608|7418234|46.47|1|19.755|20161027|301|0.4227672201279689|0.639870491011819|AVERAGE CUSTOMERS|300|2.983406623863354|3.8388069430968867
1048608|3632552|930.62|21|157.3208|20161128|333|0.6863853913484403|0.781705860169185|MOST VALUED CUSTOMERS|100|5.058287032727389|6.8358510306904625
1048608|7859770|168.6|8|33.3567|20160928|272|0.5361224307740532|0.6756801431920048|GOOD CUSTOMERS|200|3.5072586517342454|5.127529045567755
1048608|3608788|22.99|1|6.8278|20160812|225|0.3608660097920674|0.5672463153892893|LOWER RANGE CUSTOMERS|400|1.9210025133491284|3.1350593387750902
1048608|5124614|3050.23|30|829.7736|20161230|365|0.7908038525774923|0.8953766009367463|MOST VALUED CUSTOMERS|100|6.721152892497508|8.022972276594345
1048608|7806391|20.54|1|2.4105|20160816|229|0.35095429406382944|0.49607378314286116|LOWER RANGE CUSTOMERS|400|0.8798341948635399|3.0223742045004123
1048608|125948|54.99|1|10.0083|20160411|102|0.4375746915975111|0.5933873789149101|AVERAGE CUSTOMERS|300|2.303414748734523|4.007151350519723
1048608|6590035|399.27|16|136.3854|20161228|363|0.6119529983674001|0.771944130639364|GOOD CUSTOMERS|200|4.915484701557206|5.989637879766574
1048608|7144466|43.61|3|15.3912|20161208|343|0.4171799990733738|0.6228075188383362|AVERAGE CUSTOMERS|300|2.733795917520626|3.775286481854675
1048608|3897352|92.97|2|23.2903|20160718|200|0.4837644113840068|0.6511243469413359|AVERAGE CUSTOMERS|300|3.148036964878124|4.532276860467767
1048608|7379110|1435.2|4|334.7124|20161205|340|0.724490143499755|0.8333153516081115|MOST VALUED CUSTOMERS|100|5.8132716556337956|7.269059491304532
1048608|7736218|133.22|3|11.9474|20161120|325|0.5154056063405485|0.6054935670096481|AVERAGE CUSTOMERS|300|2.4805136814832753|4.892001896985033
1048608|8036724|45.39|1|12.0594|20160726|208|0.42069884392239776|0.6061314020411908|AVERAGE CUSTOMERS|300|2.489844438817624|3.8152918164683745
1048608|7108219|144.28|2|40.6128|20160927|271|0.5224207159678864|0.6891347475173244|GOOD CUSTOMERS|200|3.704083287856209|4.9717558560353385
1048608|4486250|44.38|2|14.0216|20160119|19|0.4187195026452421|0.6164367326186968|AVERAGE CUSTOMERS|300|2.640598997776829|3.792788917504448
1048608|2869554|508.24|12|136.7854|20161204|339|0.6331789976002584|0.7721443229978874|GOOD CUSTOMERS|200|4.918413274346718|6.230953776958278
1048608|3498432|826.62|20|162.3627|20161124|329|0.6759616816764473|0.7838622709191916|MOST VALUED CUSTOMERS|100|5.089832721544177|6.7173450972845625
1048608|3044713|82.43|1|4.8437|20160816|229|0.47318048555253805|0.5437772843842117|AVERAGE CUSTOMERS|300|1.5776788914855968|4.411949448325136
1048608|7033051|207.45|6|28.9676|20161230|365|0.5543618044400792|0.6660361023420656|GOOD CUSTOMERS|200|3.3661779640277665|5.334890346778876
1048608|5866882|123.65|1|11.4675|20160613|165|0.508848506188101|0.6026910985514872|AVERAGE CUSTOMERS|300|2.43951694748919|4.817454993967425
1048608|4062687|24.99|1|6.7633|20160107|7|0.36820326602712034|0.5665974870118398|LOWER RANGE CUSTOMERS|400|1.9115109366212437|3.218475744846861
1048608|8419391|365.92|10|91.9744|20161005|279|0.6042809033013377|0.7450126951494014|GOOD CUSTOMERS|200|4.521510277457736|5.902414730274471
1048608|7256617|270.76|3|51.3586|20160214|45|0.5777891260149415|0.705181805892785|GOOD CUSTOMERS|200|3.9388324004432063|5.601232819640407
1048608|4555169|257.67|7|61.6076|20161114|319|0.5734304635018395|0.7176197989424365|GOOD CUSTOMERS|200|4.120785239552581|5.551679696446243
1048608|8106379|83.42|1|15.5081|20161124|329|0.4742306010892582|0.6233247556324228|AVERAGE CUSTOMERS|300|2.7413624680726487|4.423888088768799
1048608|5827758|163.55|2|24.9732|20160720|202|0.5334475600617161|0.6558934539913666|GOOD CUSTOMERS|200|3.2178032498652285|5.097118753984393
1048608|7642656|644.1|11|140.6286|20161221|356|0.6540165962591884|0.7740384708087109|MOST VALUED CUSTOMERS|100|4.94612237263101|6.467853993552845
1048608|7678903|17.49|1|5.9004|20160902|246|0.33681526927451133|0.557267203829378|LOWER RANGE CUSTOMERS|400|1.775020145223757|2.8616292890305104
1048608|5923656|10.99|1|2.5634|20160624|176|0.29594550840545697|0.5002778417349631|LOWER RANGE CUSTOMERS|400|0.9413345023135866|2.39698576841553
1048608|4212001|78.31|2|11.7415|20160727|209|0.46867044348867|0.6043052184120263|AVERAGE CUSTOMERS|300|2.4631295745517328|4.360675308762846
